"COUNTRY","Country","SEX","Gender","ORIGIN","Country of origin","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2013","2013",7515,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2014","2014",8642,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2015","2015",6893,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2016","2016",6457,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2017","2017",6501,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2018","2018",18244,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2019","2019",27887,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2020","2020",28889,,
"AUS","Australia","F","Female","001","World","ISCED11_5","Short-cycle tertiary education","2021","2021",30589,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2013","2013",7648,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2014","2014",8535,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2015","2015",6754,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2016","2016",7327,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2017","2017",7294,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2018","2018",19672,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2019","2019",28903,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2020","2020",28772,,
"AUS","Australia","M","Male","001","World","ISCED11_5","Short-cycle tertiary education","2021","2021",32003,,
"AUS","Australia","_T","Total","001","World","ISCED11_5","Short-cycle tertiary education","2013","2013",15163,,
"AUS","Australia","_T","Total","001","World","ISCED11_5","Short-cycle tertiary education","2014","2014",17177,,
"AUS","Australia","_T","Total","001","World","ISCED11_5","Short-cycle tertiary education","2015","2015",13647,,
"AUS","Australia","_T","Total","001","World","ISCED11_5","Short-cycle tertiary education","2016","2016",13784,,
"AUS","Australia","_T","Total","001","World","ISCED11_5","Short-cycle tertiary education","2017","2017",13795,,
