Country,edu_level,year,sum
Australia,Short-cycle tertiary education,2013,15163
Australia,Short-cycle tertiary education,2014,17177
Australia,Short-cycle tertiary education,2015,13647
Australia,Short-cycle tertiary education,2016,13784
Australia,Short-cycle tertiary education,2017,13795
Australia,Short-cycle tertiary education,2018,37916
Australia,Short-cycle tertiary education,2019,56790
Australia,Short-cycle tertiary education,2020,57661
Australia,Short-cycle tertiary education,2021,62592
Australia,Bachelor or equivalent level,2013,60997
Australia,Bachelor or equivalent level,2014,56382
Australia,Bachelor or equivalent level,2015,52248
Australia,Bachelor or equivalent level,2016,53434
Australia,Bachelor or equivalent level,2017,55341
Australia,Bachelor or equivalent level,2018,59941
Australia,Bachelor or equivalent level,2019,63569
Australia,Bachelor or equivalent level,2020,64326
Australia,Bachelor or equivalent level,2021,66588
Australia,Master or equivalent level,2013,34706
Australia,Master or equivalent level,2014,37356
Australia,Master or equivalent level,2015,39694
Australia,Master or equivalent level,2016,42319
Australia,Master or equivalent level,2017,48780
Australia,Master or equivalent level,2018,61364
Australia,Master or equivalent level,2019,71128
Australia,Master or equivalent level,2020,73620
Australia,Master or equivalent level,2021,80521
Australia,Doctoral or equivalent level,2013,2949
Australia,Doctoral or equivalent level,2014,3250
Australia,Doctoral or equivalent level,2015,3212
Australia,Doctoral or equivalent level,2016,3630
Australia,Doctoral or equivalent level,2017,3696
Australia,Doctoral or equivalent level,2018,3555
Australia,Doctoral or equivalent level,2019,3884
Australia,Doctoral or equivalent level,2020,3706
Australia,Doctoral or equivalent level,2021,3568
Austria,Short-cycle tertiary education,2013,240
Austria,Short-cycle tertiary education,2014,75
Austria,Short-cycle tertiary education,2015,62
Austria,Short-cycle tertiary education,2016,67
Austria,Short-cycle tertiary education,2017,79
Austria,Short-cycle tertiary education,2018,81
Austria,Short-cycle tertiary education,2019,75
Austria,Short-cycle tertiary education,2020,89
Austria,Short-cycle tertiary education,2021,101
Austria,Bachelor or equivalent level,2013,3705
Austria,Bachelor or equivalent level,2014,4365
Austria,Bachelor or equivalent level,2015,4541
Austria,Bachelor or equivalent level,2016,4951
Austria,Bachelor or equivalent level,2017,5007
Austria,Bachelor or equivalent level,2018,4982
Austria,Bachelor or equivalent level,2019,5366
Austria,Bachelor or equivalent level,2020,5524
Austria,Bachelor or equivalent level,2021,6054
Austria,Master or equivalent level,2013,4518
Austria,Master or equivalent level,2014,4447
Austria,Master or equivalent level,2015,4887
Austria,Master or equivalent level,2016,5415
Austria,Master or equivalent level,2017,5732
Austria,Master or equivalent level,2018,6270
Austria,Master or equivalent level,2019,6390
Austria,Master or equivalent level,2020,6673
Austria,Master or equivalent level,2021,7026
Austria,Doctoral or equivalent level,2013,645
Austria,Doctoral or equivalent level,2014,685
Austria,Doctoral or equivalent level,2015,650
Austria,Doctoral or equivalent level,2016,693
Austria,Doctoral or equivalent level,2017,815
Austria,Doctoral or equivalent level,2018,873
Austria,Doctoral or equivalent level,2019,832
Austria,Doctoral or equivalent level,2020,841
Austria,Doctoral or equivalent level,2021,811
Belgium,Short-cycle tertiary education,2013,0
Belgium,Short-cycle tertiary education,2014,0
Belgium,Short-cycle tertiary education,2015,0
Belgium,Short-cycle tertiary education,2016,0
Belgium,Short-cycle tertiary education,2017,0
Belgium,Short-cycle tertiary education,2018,0
Belgium,Short-cycle tertiary education,2019,0
Belgium,Short-cycle tertiary education,2020,102
Belgium,Short-cycle tertiary education,2021,114
Belgium,Bachelor or equivalent level,2013,4234
Belgium,Bachelor or equivalent level,2014,5036
Belgium,Bachelor or equivalent level,2015,5073
Belgium,Bachelor or equivalent level,2016,5589
Belgium,Bachelor or equivalent level,2017,5114
Belgium,Bachelor or equivalent level,2018,4976
Belgium,Bachelor or equivalent level,2019,4267
Belgium,Bachelor or equivalent level,2020,5075
Belgium,Bachelor or equivalent level,2021,4990
Belgium,Master or equivalent level,2013,5947
Belgium,Master or equivalent level,2014,5744
Belgium,Master or equivalent level,2015,6238
Belgium,Master or equivalent level,2016,7171
Belgium,Master or equivalent level,2017,6289
Belgium,Master or equivalent level,2018,7309
Belgium,Master or equivalent level,2019,6169
Belgium,Master or equivalent level,2020,7488
Belgium,Master or equivalent level,2021,7799
Belgium,Doctoral or equivalent level,2013,974
Belgium,Doctoral or equivalent level,2014,974
Belgium,Doctoral or equivalent level,2015,994
Belgium,Doctoral or equivalent level,2016,1158
Belgium,Doctoral or equivalent level,2017,1216
Belgium,Doctoral or equivalent level,2018,1374
Belgium,Doctoral or equivalent level,2019,1036
Belgium,Doctoral or equivalent level,2020,1257
Belgium,Doctoral or equivalent level,2021,1360
Canada,Short-cycle tertiary education,2013,15405
Canada,Short-cycle tertiary education,2014,17154
Canada,Short-cycle tertiary education,2015,22381
Canada,Short-cycle tertiary education,2016,18867
Canada,Short-cycle tertiary education,2017,28843
Canada,Short-cycle tertiary education,2018,35638
Canada,Short-cycle tertiary education,2019,62736
Canada,Short-cycle tertiary education,2020,85743
Canada,Short-cycle tertiary education,2021,82227
Canada,Bachelor or equivalent level,2013,15432
Canada,Bachelor or equivalent level,2014,15959
Canada,Bachelor or equivalent level,2015,16917
Canada,Bachelor or equivalent level,2016,18217
Canada,Bachelor or equivalent level,2017,21223
Canada,Bachelor or equivalent level,2018,23698
Canada,Bachelor or equivalent level,2019,25608
Canada,Bachelor or equivalent level,2020,28884
Canada,Bachelor or equivalent level,2021,33159
Canada,Master or equivalent level,2013,9675
Canada,Master or equivalent level,2014,10080
Canada,Master or equivalent level,2015,11792
Canada,Master or equivalent level,2016,12302
Canada,Master or equivalent level,2017,13881
Canada,Master or equivalent level,2018,15612
Canada,Master or equivalent level,2019,16296
Canada,Master or equivalent level,2020,18156
Canada,Master or equivalent level,2021,20484
Canada,Doctoral or equivalent level,2013,1317
Canada,Doctoral or equivalent level,2014,1518
Canada,Doctoral or equivalent level,2015,1769
Canada,Doctoral or equivalent level,2016,2031
Canada,Doctoral or equivalent level,2017,2352
Canada,Doctoral or equivalent level,2018,2739
Canada,Doctoral or equivalent level,2019,2442
Canada,Doctoral or equivalent level,2020,2634
Canada,Doctoral or equivalent level,2021,2499
Czechia,Short-cycle tertiary education,2013,13
Czechia,Short-cycle tertiary education,2014,11
Czechia,Short-cycle tertiary education,2015,23
Czechia,Short-cycle tertiary education,2016,13
Czechia,Short-cycle tertiary education,2017,21
Czechia,Short-cycle tertiary education,2018,15
Czechia,Short-cycle tertiary education,2019,18
Czechia,Short-cycle tertiary education,2020,23
Czechia,Short-cycle tertiary education,2021,21
Czechia,Bachelor or equivalent level,2013,4291
Czechia,Bachelor or equivalent level,2014,4153
Czechia,Bachelor or equivalent level,2015,3834
Czechia,Bachelor or equivalent level,2016,4074
Czechia,Bachelor or equivalent level,2017,3990
Czechia,Bachelor or equivalent level,2018,4250
Czechia,Bachelor or equivalent level,2019,4192
Czechia,Bachelor or equivalent level,2020,4050
Czechia,Bachelor or equivalent level,2021,3951
Czechia,Master or equivalent level,2013,3740
Czechia,Master or equivalent level,2014,3931
Czechia,Master or equivalent level,2015,3834
Czechia,Master or equivalent level,2016,3812
Czechia,Master or equivalent level,2017,4009
Czechia,Master or equivalent level,2018,4130
Czechia,Master or equivalent level,2019,4431
Czechia,Master or equivalent level,2020,4809
Czechia,Master or equivalent level,2021,4753
Czechia,Doctoral or equivalent level,2013,305
Czechia,Doctoral or equivalent level,2014,323
Czechia,Doctoral or equivalent level,2015,338
Czechia,Doctoral or equivalent level,2016,361
Czechia,Doctoral or equivalent level,2017,406
Czechia,Doctoral or equivalent level,2018,410
Czechia,Doctoral or equivalent level,2019,405
Czechia,Doctoral or equivalent level,2020,371
Czechia,Doctoral or equivalent level,2021,461
Denmark,Short-cycle tertiary education,2013,1345
Denmark,Short-cycle tertiary education,2014,1451
Denmark,Short-cycle tertiary education,2015,1559
Denmark,Short-cycle tertiary education,2016,1743
Denmark,Short-cycle tertiary education,2017,1856
Denmark,Short-cycle tertiary education,2018,1712
Denmark,Short-cycle tertiary education,2019,1534
Denmark,Short-cycle tertiary education,2020,1258
Denmark,Short-cycle tertiary education,2021,1313
Denmark,Bachelor or equivalent level,2013,2866
Denmark,Bachelor or equivalent level,2014,2842
Denmark,Bachelor or equivalent level,2015,2827
Denmark,Bachelor or equivalent level,2016,3028
Denmark,Bachelor or equivalent level,2017,3135
Denmark,Bachelor or equivalent level,2018,3299
Denmark,Bachelor or equivalent level,2019,3220
Denmark,Bachelor or equivalent level,2020,3254
Denmark,Bachelor or equivalent level,2021,3193
Denmark,Master or equivalent level,2013,3170
Denmark,Master or equivalent level,2014,3253
Denmark,Master or equivalent level,2015,3778
Denmark,Master or equivalent level,2016,5506
Denmark,Master or equivalent level,2017,5191
Denmark,Master or equivalent level,2018,5087
Denmark,Master or equivalent level,2019,5209
Denmark,Master or equivalent level,2020,5153
Denmark,Master or equivalent level,2021,5428
Denmark,Doctoral or equivalent level,2013,585
Denmark,Doctoral or equivalent level,2014,677
Denmark,Doctoral or equivalent level,2015,698
Denmark,Doctoral or equivalent level,2016,741
Denmark,Doctoral or equivalent level,2017,811
Denmark,Doctoral or equivalent level,2018,793
Denmark,Doctoral or equivalent level,2019,803
Denmark,Doctoral or equivalent level,2020,708
Denmark,Doctoral or equivalent level,2021,809
Finland,Short-cycle tertiary education,2013,0
Finland,Short-cycle tertiary education,2014,0
Finland,Short-cycle tertiary education,2015,0
Finland,Short-cycle tertiary education,2016,0
Finland,Short-cycle tertiary education,2017,0
Finland,Short-cycle tertiary education,2018,0
Finland,Short-cycle tertiary education,2019,0
Finland,Short-cycle tertiary education,2020,0
Finland,Short-cycle tertiary education,2021,0
Finland,Bachelor or equivalent level,2013,1733
Finland,Bachelor or equivalent level,2014,1852
Finland,Bachelor or equivalent level,2015,2071
Finland,Bachelor or equivalent level,2016,2097
